"Date","Open","High","Low","Close","Volume","Market Cap"
"11-10-2018",0.084525,0.084552,0.070026,0.070939,72659700,1839248235
"10-10-2018",0.086345,0.086432,0.083542,0.084679,35888200,2195465443
"09-10-2018",0.086773,0.087511,0.084461,0.086357,38710200,2238978845
"08-10-2018",0.084531,0.088169,0.083198,0.086607,62079800,2245470984
"07-10-2018",0.081454,0.085151,0.080741,0.084658,34848400,2194941716
"06-10-2018",0.083309,0.083729,0.080985,0.081303,26277600,2107948616
"05-10-2018",0.081381,0.08309,0.08069,0.082991,31160900,2151708326
"04-10-2018",0.080818,0.082789,0.080534,0.081304,31665100,2107977136
"03-10-2018",0.082032,0.082405,0.079175,0.080789,38063700,2094614324
"02-10-2018",0.084604,0.084681,0.082388,0.082525,34775200,2139639274
"01-10-2018",0.085292,0.085806,0.082636,0.084469,42076400,2190041499
"30-09-2018",0.084368,0.086804,0.083421,0.085195,49853100,2208861960
"29-09-2018",0.083712,0.086371,0.081708,0.084606,55854000,2193583137
"28-09-2018",0.086403,0.088327,0.082045,0.084031,89113600,2178690628
"27-09-2018",0.079466,0.087636,0.078421,0.086001,101911000,2229764364
"26-09-2018",0.080992,0.082871,0.077172,0.079476,64321400,2060579858
"25-09-2018",0.082303,0.082303,0.075378,0.081028,87535200,2100805708
"24-09-2018",0.089705,0.091354,0.082314,0.082754,89522100,2145558424
"23-09-2018",0.083488,0.093225,0.082894,0.089753,149996000,2327045326
"22-09-2018",0.08766,0.08839,0.080326,0.083193,82526800,2156937816
"21-09-2018",0.081778,0.089908,0.08123,0.087606,212274000,2271359163
"20-09-2018",0.072439,0.082661,0.071514,0.081493,103788000,2112885130
"19-09-2018",0.069145,0.074414,0.067413,0.07235,96071300,1875826146
"18-09-2018",0.063568,0.07022,0.062599,0.06943,67159000,1800126878
"17-09-2018",0.069854,0.07027,0.063415,0.063899,48609600,1656713880
"16-09-2018",0.069153,0.069981,0.06662,0.069962,32643600,1813922673
"15-09-2018",0.067928,0.070365,0.067798,0.069322,34842300,1797311198
"14-09-2018",0.070094,0.070719,0.066107,0.068248,62256800,1769475895
"13-09-2018",0.067053,0.070931,0.065717,0.069829,86011700,1810453630
"12-09-2018",0.070794,0.070794,0.061708,0.066745,91272400,1730491952
"11-09-2018",0.07418,0.07475,0.067144,0.070513,47614500,1828198118
"10-09-2018",0.077277,0.078133,0.072209,0.073508,44682000,1905844508
"09-09-2018",0.078443,0.081148,0.075025,0.076643,47870100,1987128467
"08-09-2018",0.08412,0.08513,0.077505,0.078235,35208700,2028396585
"07-09-2018",0.088521,0.089645,0.083456,0.083983,41868100,2177433165
"06-09-2018",0.087525,0.089429,0.08313,0.088666,73239200,2298847044
"05-09-2018",0.105267,0.106217,0.087569,0.087569,98708900,2270418011
"04-09-2018",0.103484,0.106509,0.103385,0.105265,54317400,2729213080
"03-09-2018",0.10465,0.105193,0.102529,0.103607,53687200,2686225997
"02-09-2018",0.106903,0.107182,0.102511,0.104432,58391900,2707615830
"01-09-2018",0.101877,0.108901,0.101877,0.106827,70208900,2769711164
"31-08-2018",0.100902,0.102756,0.099255,0.102196,42250400,2649642901
"30-08-2018",0.105205,0.107144,0.097286,0.10056,64807500,2607226213
"29-08-2018",0.105611,0.108924,0.102186,0.105469,83582300,2734502203
"28-08-2018",0.100565,0.106655,0.100032,0.10548,79059500,2734787400
"27-08-2018",0.093178,0.100795,0.092522,0.100264,55515600,2599551800
"26-08-2018",0.094262,0.094625,0.091405,0.093338,26907400,2419973132
"25-08-2018",0.094305,0.095007,0.09235,0.094282,30674700,2444461250
"24-08-2018",0.092846,0.094363,0.090948,0.094077,35302400,2439148793
"23-08-2018",0.090205,0.093339,0.089165,0.092453,37397400,2397040638
"22-08-2018",0.095016,0.100128,0.088088,0.090149,64566000,2337294297
"21-08-2018",0.093161,0.096051,0.091919,0.095003,49545100,2463159853
"20-08-2018",0.102243,0.103728,0.093618,0.093764,53939600,2431015471
"19-08-2018",0.099744,0.104358,0.09812,0.102437,51106900,2655891325
"18-08-2018",0.109847,0.112477,0.097485,0.099784,101454000,2587119770
"17-08-2018",0.095682,0.109917,0.095172,0.109887,103569000,2849048000
"16-08-2018",0.095035,0.098572,0.093198,0.095331,50188900,2471645783
"15-08-2018",0.095489,0.101081,0.094665,0.09504,91346700,2464119155
"14-08-2018",0.102779,0.102779,0.086951,0.094662,111693000,2454300573
"13-08-2018",0.113183,0.115714,0.102698,0.10291,56974900,2668154829
"12-08-2018",0.112497,0.114788,0.111658,0.11297,35031500,2928981159
"11-08-2018",0.116444,0.116669,0.109195,0.112439,65816400,2915213884
"10-08-2018",0.124091,0.124966,0.113747,0.116355,71125700,3016744292
"09-08-2018",0.114507,0.127082,0.114507,0.123507,93016600,3202174701
"08-08-2018",0.125594,0.125594,0.112637,0.113752,82209700,2949256128
"07-08-2018",0.130923,0.1331,0.124601,0.125378,57321700,3250684250
"06-08-2018",0.130919,0.136404,0.128161,0.130553,57534800,3384856840
"05-08-2018",0.127292,0.13203,0.125517,0.131721,43901500,3415139658
"04-08-2018",0.130771,0.134591,0.125412,0.127547,54577300,3306920066
"03-08-2018",0.131416,0.134835,0.124545,0.130255,77768900,3377130573
"02-08-2018",0.141316,0.142481,0.130469,0.131941,68531400,3420843614
"01-08-2018",0.143086,0.145038,0.13718,0.140901,79987900,3653150166
"31-07-2018",0.154067,0.154187,0.140773,0.143297,93183800,3715271427
"30-07-2018",0.163234,0.163234,0.14928,0.154087,69612600,3995024518
"29-07-2018",0.164163,0.164772,0.160419,0.163313,47319500,4234227671
"28-07-2018",0.166228,0.166228,0.160024,0.16338,51592200,4235964785
"27-07-2018",0.16445,0.168709,0.15666,0.16554,103693000,4291967257
"26-07-2018",0.172416,0.17474,0.162497,0.164765,84282200,4271873777
"25-07-2018",0.17236,0.175304,0.16682,0.172731,123649000,4478408821
"24-07-2018",0.164736,0.176757,0.161279,0.173172,191390000,4489842659
